query_name,target_rate_qps,latency_ms,queue_time_ms,total_latency_ms,scheduled_arrival_offset_ms,actual_start_offset_ms
q8_shape,1.0,13250.0,5352.0,18602.0,335159.0,335159.0
q8_shape,1.0,9263.0,2201.0,11464.0,350387.0,350387.0
q8_shape,1.0,18854.0,2557.0,21411.0,355356.0,355356.0
q8_shape,1.0,17214.0,2993.0,20207.0,355563.0,355563.0
q8_shape,1.0,18059.0,2328.0,20387.0,356198.0,356198.0
q8_shape,1.0,9080.0,2442.0,11522.0,356433.0,356433.0
q8_shape,1.0,16335.0,2568.0,18903.0,357055.0,357055.0
q8_shape,1.0,9612.0,1959.0,11571.0,363500.0,363500.0
q8_shape,1.0,10548.0,1835.0,12383.0,371484.0,371484.0
q8_shape,1.0,11926.0,1925.0,13851.0,377905.0,377905.0
q8_shape,1.0,14557.0,2512.0,17069.0,387708.0,387708.0
q8_shape,1.0,14929.0,1997.0,16926.0,388949.0,388949.0
q8_shape,1.0,15457.0,2633.0,18090.0,389509.0,389509.0
q8_shape,1.0,15192.0,2171.0,17363.0,389618.0,389618.0
q8_shape,1.0,11648.0,1911.0,13559.0,395131.0,395131.0
q8_shape,1.0,8994.0,6281.0,15275.0,400184.0,400184.0
q8_shape,1.0,10596.0,1953.0,12549.0,412902.0,412902.0
q8_shape,1.0,38754.0,2506.0,41260.0,419384.0,419384.0
q8_shape,1.0,38241.0,2578.0,40819.0,421027.0,421027.0
q8_shape,1.0,9671.0,1836.0,11507.0,421906.0,421906.0
q8_shape,1.0,13289.0,40984.0,54273.0,422846.0,422846.0
q8_shape,1.0,16959.0,2307.0,19266.0,423544.0,423544.0
q8_shape,1.0,16538.0,2027.0,18565.0,424010.0,424010.0
q8_shape,1.0,10943.0,2414.0,13357.0,429371.0,429371.0
q8_shape,1.0,9627.0,1728.0,11355.0,435609.0,435609.0
q8_shape,1.0,10992.0,1934.0,12926.0,444639.0,444639.0
q8_shape,1.0,14112.0,1960.0,16072.0,453137.0,453137.0
q8_shape,1.0,13847.0,2387.0,16234.0,454089.0,454089.0
q8_shape,1.0,12856.0,1866.0,14722.0,455523.0,455523.0
q8_shape,1.0,10498.0,1968.0,12466.0,455882.0,455882.0
q8_shape,1.0,14691.0,1820.0,16511.0,456287.0,456287.0
q8_shape,1.0,12480.0,3261.0,15741.0,458353.0,458353.0
q8_shape,1.0,9618.0,1940.0,11558.0,469320.0,469320.0
q8_shape,1.0,10618.0,2029.0,12647.0,470848.0,470848.0
q8_shape,1.0,18960.0,38772.0,57732.0,472117.0,472117.0
q8_shape,1.0,9935.0,2280.0,12215.0,481177.0,481177.0
q8_shape,1.0,19981.0,2604.0,22585.0,482294.0,482294.0
q8_shape,1.0,11092.0,1912.0,13004.0,482906.0,482906.0
q8_shape,1.0,9176.0,1934.0,11110.0,485911.0,485911.0
q8_shape,1.0,8910.0,2169.0,11079.0,490119.0,490119.0
q8_shape,1.0,9470.0,3894.0,13364.0,492694.0,492694.0
q8_shape,1.0,10816.0,2291.0,13107.0,493949.0,493949.0
q8_shape,1.0,8811.0,1848.0,10659.0,496450.0,496450.0
q8_shape,1.0,22471.0,2506.0,24977.0,504215.0,504215.0
q8_shape,1.0,8950.0,1898.0,10848.0,509286.0,509286.0
q8_shape,1.0,8532.0,1829.0,10361.0,509685.0,509685.0
q8_shape,1.0,9089.0,1945.0,11034.0,510416.0,510416.0
q8_shape,1.0,17998.0,2665.0,20663.0,512608.0,512608.0
q8_shape,1.0,16209.0,2475.0,18684.0,513885.0,513885.0
q8_shape,1.0,15605.0,3647.0,19252.0,516781.0,516781.0
