target,query_name,total_latency_ms
lakebase,property_financials_joined,81.54836729778481
dbsql,gl_monthly_by_arena_year,569.0689950034198
lakebase,property_financials_joined,67.16845586413456
dbsql,pnl_rollup_multi_month,569.8340642700828
dbsql,worst_case_yoy_growth,99036.73815658315
lakebase,pnl_rollup_multi_month,109.02123715396783
lakebase,gl_monthly_by_arena_year,68.91705263626591
lakebase,property_financials_joined,63.683181478779716
lakebase,gl_monthly_by_arena_year,91.06826689382785
dbsql,pnl_rollup_multi_month,1013.529956855848
lakebase,investor_commitment_summary,74.048609112765
lakebase,top10_properties_by_revenue,66.70350196407071
lakebase,gl_monthly_by_arena_year,63.19669564484798
lakebase,investor_commitment_summary,90.1063825166375
lakebase,investor_commitment_summary,93.6662679120559
lakebase,top10_properties_by_revenue,79.82526379814203
lakebase,pnl_rollup_multi_month,101.40097145153959
dbsql,pnl_rollup_multi_month,574.3374973361597
lakebase,pnl_rollup_multi_month,122.43189544051347
dbsql,property_financials_joined,488.5979154432789
dbsql,pnl_rollup_multi_month,1431.8122806986935
lakebase,property_financials_joined,65.50125321211908
dbsql,gl_monthly_by_arena_year,628.0154561786162
lakebase,property_financials_joined,60.11011684574896
dbsql,investor_commitment_summary,364.3472926544291
dbsql,gl_monthly_by_arena_year,674.8173195738332
dbsql,property_financials_joined,516.4461498352466
lakebase,investor_commitment_summary,104.4281063316248
lakebase,property_financials_joined,94.8129054607989
lakebase,gl_monthly_by_arena_year,69.01896384437123
lakebase,investor_commitment_summary,85.23988346405531
lakebase,fund_performance_arena,71.43312036430416
lakebase,gl_monthly_by_arena_year,83.29550517129292
lakebase,investor_commitment_summary,79.4627697919168
dbsql,investor_commitment_summary,372.81714017274226
dbsql,pnl_rollup_multi_month,594.6644889718868
dbsql,top10_properties_by_revenue,882.7269079847042
dbsql,top10_properties_by_revenue,545.2435503888182
dbsql,investor_commitment_summary,397.71848275961474
dbsql,investor_commitment_summary,687.8511703782806
lakebase,gl_monthly_by_arena_year,92.37409334065205
lakebase,gl_monthly_by_arena_year,95.13051436169917
lakebase,investor_commitment_summary,81.31904118016564
lakebase,investor_commitment_summary,85.51153532687295
dbsql,property_financials_joined,572.1145537074221
lakebase,pnl_rollup_multi_month,116.93616326988376
dbsql,fund_performance_arena,473.02574908479755
dbsql,pnl_rollup_multi_month,922.4044400818912
lakebase,property_financials_joined,102.92961767902398
lakebase,top10_properties_by_revenue,56.503815671362645
lakebase,gl_monthly_by_arena_year,67.12106271447738
dbsql,gl_monthly_by_arena_year,697.6072445113459
lakebase,top10_properties_by_revenue,58.16525305908726
dbsql,gl_monthly_by_arena_year,815.0986209043651
lakebase,top10_properties_by_revenue,63.32653705095481
dbsql,property_financials_joined,574.403049402747
dbsql,pnl_rollup_multi_month,1418.1255805434887
lakebase,property_financials_joined,59.652975099339756
lakebase,pnl_rollup_multi_month,128.79985348968148
dbsql,investor_commitment_summary,335.11021171023003
lakebase,pnl_rollup_multi_month,106.59725635071027
dbsql,property_financials_joined,865.3787621476567
dbsql,investor_commitment_summary,456.5862305995836
dbsql,property_financials_joined,593.3071923081172
lakebase,property_financials_joined,59.85233362082454
dbsql,investor_commitment_summary,321.1682410233152
dbsql,property_financials_joined,1926.0721169511612
dbsql,investor_commitment_summary,660.3433405596206
dbsql,investor_commitment_summary,340.50362417781344
lakebase,property_financials_joined,91.13988718706878
dbsql,gl_monthly_by_arena_year,501.6103946788917
dbsql,fund_performance_arena,484.29018178654815
dbsql,worst_case_yoy_growth,75944.95936371233
lakebase,top10_properties_by_revenue,73.72112635738404
dbsql,fund_performance_arena,472.0069147131767
dbsql,fund_performance_arena,358.94198250866793
lakebase,pnl_rollup_multi_month,103.1238013293887
dbsql,gl_monthly_by_arena_year,864.4060632063031
lakebase,gl_monthly_by_arena_year,61.254166713410996
lakebase,investor_commitment_summary,72.70744274654817
lakebase,investor_commitment_summary,83.49489484163541
dbsql,worst_case_yoy_growth,28439.125612113683
lakebase,gl_monthly_by_arena_year,64.7549330422521
dbsql,top10_properties_by_revenue,897.1768741819233
dbsql,pnl_rollup_multi_month,1199.5642724649542
lakebase,fund_performance_arena,59.31054449132489
dbsql,pnl_rollup_multi_month,581.6039960004673
lakebase,property_financials_joined,431.55432646969416
lakebase,pnl_rollup_multi_month,161.8868945831764
lakebase,gl_monthly_by_arena_year,61.95512705062356
dbsql,investor_commitment_summary,965.9554369893328
lakebase,top10_properties_by_revenue,76.99332477517373
lakebase,top10_properties_by_revenue,88.29388875545874
dbsql,gl_monthly_by_arena_year,457.09577008483393
lakebase,property_financials_joined,109.78640451685351
dbsql,top10_properties_by_revenue,1040.2893866872205
lakebase,pnl_rollup_multi_month,182.40879316454084
dbsql,gl_monthly_by_arena_year,532.8502353837052
lakebase,property_financials_joined,82.99800643476374
lakebase,property_financials_joined,115.87356235389734
dbsql,gl_monthly_by_arena_year,1352.5657378283995
lakebase,fund_performance_arena,77.86223333664566
dbsql,property_financials_joined,605.9305912117452
dbsql,investor_commitment_summary,4569.623639238926
lakebase,property_financials_joined,94.47131172231593
dbsql,fund_performance_arena,602.0070183517987
lakebase,fund_performance_arena,58.62447411664107
lakebase,fund_performance_arena,61.42354442636133
lakebase,property_financials_joined,90.85380580748392
lakebase,pnl_rollup_multi_month,140.7093065791969
lakebase,property_financials_joined,71.73851434157541
lakebase,fund_performance_arena,82.80197401228406
lakebase,top10_properties_by_revenue,81.28959982281003
lakebase,property_financials_joined,62.92232548702259
lakebase,gl_monthly_by_arena_year,86.90371166767363
lakebase,gl_monthly_by_arena_year,115.37047229103337
dbsql,property_financials_joined,1918.0986429362433
dbsql,gl_monthly_by_arena_year,663.9032083478469
dbsql,top10_properties_by_revenue,715.3328870802227
lakebase,top10_properties_by_revenue,75.44593261110322
dbsql,top10_properties_by_revenue,612.5776178997739
lakebase,pnl_rollup_multi_month,112.06518627636797
dbsql,pnl_rollup_multi_month,933.2350498422102
lakebase,property_financials_joined,67.36152565599696
dbsql,top10_properties_by_revenue,835.27550417665
lakebase,top10_properties_by_revenue,89.78170765146842
lakebase,property_financials_joined,83.55851897908906
lakebase,top10_properties_by_revenue,78.56838661575694
dbsql,fund_performance_arena,312.4906730673729
lakebase,gl_monthly_by_arena_year,67.91448802778177
lakebase,pnl_rollup_multi_month,204.47590735295762
dbsql,investor_commitment_summary,937.9703941539219
dbsql,property_financials_joined,925.5004913775338
lakebase,investor_commitment_summary,91.39243799612018
dbsql,investor_commitment_summary,336.60175671343495
lakebase,gl_monthly_by_arena_year,77.4441658915066
lakebase,top10_properties_by_revenue,99.4110692945469
lakebase,gl_monthly_by_arena_year,110.04877280996084
lakebase,gl_monthly_by_arena_year,72.64764324202133
dbsql,fund_performance_arena,488.4156566836282
lakebase,fund_performance_arena,71.27573372042662
dbsql,property_financials_joined,4333.371944966572
lakebase,fund_performance_arena,56.87458490479003
dbsql,property_financials_joined,483.7086825201595
lakebase,property_financials_joined,65.34380257062367
dbsql,worst_case_yoy_growth,617.3774038215356
lakebase,fund_performance_arena,100.83950960722632
lakebase,gl_monthly_by_arena_year,72.55556314009937
lakebase,pnl_rollup_multi_month,97.42939956072405
dbsql,worst_case_yoy_growth,619.6950746532366
lakebase,top10_properties_by_revenue,60.074731147551574
dbsql,investor_commitment_summary,315.58096405115066
lakebase,property_financials_joined,82.99618737339642
dbsql,top10_properties_by_revenue,479.22938295675976
lakebase,property_financials_joined,70.49054055593729
dbsql,pnl_rollup_multi_month,1012.4986469070905
