run_id,target,query_name,bucket_start_offset_s,bucket_end_offset_s,p50_ms,p95_ms,max_ms,achieved_qps,error_count,is_warmup
2026-04-28T15:09:02Z,dbsql,__all__,0,30,1485.20836220494,78290.84257540763,197065.24831343387,4.7,0,True
2026-04-28T15:09:02Z,dbsql,__all__,30,60,3580.7233551252507,127291.33547628904,204020.64893928182,5.566666666666666,0,True
2026-04-28T15:09:02Z,dbsql,__all__,60,90,1931.4927312309605,23618.483605586072,193398.4818854523,4.366666666666666,0,True
2026-04-28T15:09:02Z,dbsql,__all__,90,120,1237.2603566641515,8567.701195401542,114128.16911966236,5.166666666666667,0,False
2026-04-28T15:09:02Z,dbsql,__all__,120,150,998.1906541020038,5681.421597100171,104868.41699567759,5.0,0,False
2026-04-28T15:09:02Z,dbsql,__all__,150,180,901.0292634769996,2582.4142705484296,103105.95429726613,5.433333333333334,0,False
2026-04-28T15:09:02Z,dbsql,__all__,180,210,814.364191726682,2051.377889201007,80084.15759592407,5.2,0,False
2026-04-28T15:09:02Z,dbsql,__all__,210,240,752.0077746516307,1204.6724655992418,1968.6184064672432,5.066666666666666,0,False
2026-04-28T15:09:02Z,dbsql,__all__,240,270,767.1706278033668,1311.8610717729496,1926.0721169511612,5.133333333333334,0,False
2026-04-28T15:09:02Z,dbsql,__all__,270,300,698.3300106530237,1059.2593894944798,1319.9397811744689,4.233333333333333,0,False
2026-04-28T15:09:02Z,dbsql,__all__,300,330,691.4731508437058,1031.460315767191,1249.9568379990933,4.233333333333333,0,False
2026-04-28T15:09:02Z,dbsql,__all__,330,360,677.4220770612374,1113.587108290841,1909.0420693075885,5.133333333333334,0,False
2026-04-28T15:09:02Z,dbsql,__all__,360,390,668.701521207197,964.6777821865982,1228.135935117109,4.533333333333333,0,False
2026-04-28T15:09:02Z,dbsql,__all__,390,420,676.791783742317,1020.8230747559355,1431.8122806986935,4.966666666666667,0,False
2026-04-28T15:09:02Z,dbsql,__all__,420,450,638.6317014506631,986.2305070092987,1137.068236450716,5.833333333333333,0,False
2026-04-28T15:09:02Z,dbsql,__all__,450,480,669.5404578104558,1023.6266587961182,1158.2337084039978,4.866666666666666,0,False
